Bedroom,Bathroom,Den,Address,Lat,Long,Price
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,1750
1,1,1,"70 Queens Wharf Rd, Toronto, ON M5V 0J2, Canada",43.6400685,-79.3999604,2400
1,1,0,"89 McGill St, Toronto, ON M5B 1H3, Canada",43.6606054,-79.3786354,2000
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,1950
1,1,0,"424 Yonge Street, Toronto, ON, M5B 2H3",43.660269,-79.3828002,2450
2,2,0,"424 Yonge Street, Toronto, ON, M5B 2H3",43.660269,-79.3828002,3450
1,1,0,"386 Yonge St, Toronto, ON M5G 2K2, Canada",43.659329,-79.3826747,2350
2,2,0,", toronto M5B1E4 ON, Canada",43.6567332,-79.375154,2900
1,1,1,", Mississauga L5B 0G6 ON, Canada",43.5897603,-79.6484562,2200
1,1,0,"87 PETER ST, M5V0P1, TORONTO, ON",43.6469441,-79.3923973,1850
1,1,1,", Mississauga  L5H3B2 ON, Canada",43.5340709,-79.6245936,2150
1,1,0,"120 Bayview Ave., M5A 0G4, Toronto, ON",43.653978,-79.3541341,1900
1,1,0,"51 E Liberty St, Toronto M6K 3P8 ON",43.6387003,-79.4121833,2200
3,2,0,"M5B0A5, Canada",56.130366,-106.346771,4000
3,2,0,", M5V 2G4, Toronto, ON",43.6467641,-79.3922208,3200
1,1,0,"300 Front St W, M5E 0E9, Toronto, ON",43.6441737,-79.3894209,2500
1,1.5,0,"k , Toronto m8v 2t8 ON, Canada",43.6070571,-79.4949066,1200
1,1,0,", Toronto m5e0a8 ON",43.645271,-79.3763951,2600
1,1,1,"Iceboat Terr, Toronto, ON M5V 4A9, Canada",43.6406042,-79.3971881,1750
2,2,0,"101 Charles St E, Toronto, ON M4Y 0A9, Canada",43.6695928,-79.3805797,3575
2,1,0,"75 Queens Wharf Rd, Toronto, ON M5V 0J8, Canada",43.6383175,-79.3977947,3200
2,1,0,"87 Peter St, Toronto, ON M5V 0P1, Canada",43.6469441,-79.3923973,2500
1,1,0,"89 McGill St, Toronto, ON M5B 1H3, Canada",43.6606054,-79.3786354,1850
1,1,0,"87 Peter Street, Toronto, ON, M5V 0P1",43.6469441,-79.3923973,2100
